sacks of gold dust and 50
slowing of heart rate and 692
slowing of heart rate with 53
slowing the arms race and 53
slowing the heart rate and 421
slows the heart rate and 689
slums to make room for 59
small by their ideas and 43
small in body size and 61
small in those days and 98
small it will give him 69
small of your back and 770
small of your back for 102
small of your back with 101
small or when there are 56
small the very great are 98
small to give more than 86
small to have made any 42
small to have more than 230
small to have their own 490
small to hold more than 263
small to hold their own 83
small to hold those who 72
small to keep pace with 135
small to know what was 41
small to make full use 49
small to make more than 63
small to take more than 47
smart in more ways than 45
smart to fall into that 135
smart to know what his 105
smash my fist into his 127
smell in what land one 135
smell is just what can 47
smell of baking bread and 247
smell of baking bread that 89
smell of baking bread was 73
smell of beer upon him 45
smell of body odor and 184
smell of bread baking and 91
smell of cheap soap and 44
smell of coal dust and 52
smell of damp soil and 50
smell of damp wood and 173
smell of damp wool and 201
smell of fire upon him 47
smell of fire upon his 158
smell of fire upon them 145
smell of food made her 121
smell of food made him 85
smell of food when they 65
smell of frying eggs and 143
smell of frying fish and 233
smell of good food and 70
smell of salt fish and 131
smell of singed cloth goes 48
smell of singed hair and 127
smell of singed hair was 60
smell of sour milk and 408
smell of sweat from his 52
smell of their sweat and 57
smell of warm bread and 58
smell of wild thyme and 115
smell of wine from his 43
smell to find food and 75
smell to find their way 96
smile as their eyes met 194
smile he fell back and 44
smile in your eyes and 46
smile in your face and 368
smile is worth more than 74
smile of early spring that 42
smile of peace upon her 42
smile of peace upon his 41
smile on their face and 321
smile on their face that 40
smile on their lips and 721
smile on your face all 81
smile on your face and 4618
smile on your face for 142
smile on your face that 442
smile on your face you 63
smile on your lips and 205
smile on your mouth was 250
smile or hold down her 96
smile to come upon her 89
smile to hold good for 49
smile to more play and 68
smile to pass over her 46
smile to pass over his 83
smile to play upon his 66
smile to steal over his 40
smile to your face and 610
smile to your lips and 73
smiling as their eyes met 42
smiling my heart fell dead 56
smoke he blew from his 72
smoke in their eyes and 53
smoke in their lungs for 81
smoke in those days was 365
smoke in your eyes and 93
smoke in your face and 96
smoke on clear days and 72
smoke the peace pipe and 54
smoke the peace pipe with 289
smoke to roll over him 52
smoking the peace pipe with 103
smoking the pipe over our 43
smooth the hair from her 150
smooth the hair from his 91
smote the cake from him 45
smote the nail into his 437
snaps the book shut and 49
snaps the last link that 64
sober or very calm can 45
socks to send your son 147
soever the truth lies with 49
soils in these areas are 236
soils is much less than 62
soils of good depth and 55
soils of great depth and 41
soils of these areas are 156
soils the very page that 46
soles of their feet and 1017
soles of their feet are 637
soles of their feet being 76
soles of their feet each 40
soles of their feet for 56
soles of their feet had 75
soles of their feet that 50
soles of their feet they 46
soles of their feet with 620
soles of their shoes and 206
soles of their shoes are 59
soles of their shoes with 160
soles of these shoes are 49
soles of your feet and 1115
soles of your feet are 512
soles of your feet with 300
soles of your shoes and 154
soles of your shoes are 157
solid as these ties are 61
solid is much less than 57
sores on their arms and 122
sores on their feet and 101
sores on their legs and 131
sorry he ever left you 127
sorry he must leave her 65
sorry if there were any 149
sorry it went like this 45
sorry so much time has 40
sorry to come like this 45
sorry to find more than 45
sorry to find there was 70
sorry to find were dead 60
sorry to have been led 40
sorry to have been out 280
sorry to have done that 53
sorry to have done this 117
sorry to have done with 134
sorry to have heard that 175
sorry to have held you 64
sorry to have hurt her 87
sorry to have hurt him 94
sorry to have hurt his 115
sorry to have hurt you 352
sorry to have kept her 96
sorry to have kept him 45
sorry to have kept them 56
sorry to have kept you 5392
sorry to have left her 80
sorry to have left things 43
sorry to have left you 474
sorry to have lost her 166
sorry to have lost him 92
sorry to have lost his 87
sorry to have lost that 48
sorry to have lost you 44
sorry to have made her 56
sorry to have made him 47
sorry to have made this 60
sorry to have made you 614
sorry to have said that 49
sorry to have seen him 59
sorry to have seen them 45
sorry to have seen this 87
sorry to have seen you 68
sorry to have such men 40
sorry to have told you 134
sorry to learn from her 42
sorry to learn from him 156
sorry to learn from this 45
sorry to learn from you 97
sorry to leave like this 72
sorry to look like him 86
sorry to miss seeing you 314
sorry to part from her 149
sorry to part from him 543
sorry to part from his 91
sorry to part from our 42
sorry to part from that 71
sorry to part from them 186
sorry to part from you 152
sorry to think made but 58
sorry to think there was 79
sorry we have nothing for 58
sorry we must part then 58
sorts of cold meats with 41
sorts of food into them 46
sorts of glad life and 61
sorts of ideas into her 40
sorts of ideas make our 160
sorts of other good things 221
sorts of other odds and 68
sorts of work will not 307
souls do talk when they 48
souls of these poor men 96
souls of these young men 54
souls of those fine old 119
souls of those jews who 65
souls of those just dying 40
souls of those poor men 117
souls of those whom they 292
souls of those whom you 159
souls to come unto him 89
souls to find their way 54
sound as coming from this 50
sound in their paths and 53
sound is best heard with 46
sound is coming from and 135
sound is coming from one 107
sound is ever heard but 41
sound is gone into all 47
sound is heard from one 49
sound is heard from them 62
sound is heard save that 139
sound is more like that 71
sound is most pure and 48
sound is much less than 67
sound is much like that 95
sound is nothing more than 248
sound is very clear and 42
sound is very loud and 162
sound of duct tape being 43
sound of feet upon its 81
sound of feet when far 322
sound of heavy feet and 115
sound of heavy firing was 158
sound of heavy guns and 43
sound of heavy guns was 65
sound of heavy rain and 44
sound of hoof beats and 65
sound of jets taking off 44
sound of life heard for 47
sound of life save that 57
sound of many feet and 238
sound of many feet was 71
sound of moving feet and 55
sound of rain beating with 68
sound of tearing cloth and 55
sound of their axes that 46
sound of their beating wings 81
sound of their feet and 247
sound of their feet was 173
sound of their guns was 88
sound of their songs and 133
sound of their talk and 103
sound of these songs and 48
sound of truth will then 44
sound or lake when air 86
sound or play upon any 385
sound so good when you 49
sound the same when they 181
sound the same when you 101
sound to find their way 107
sound to make sure that 48
sound to reach their ears 41
space in less time than 64
space in your heart and 51
space in your heart for 81
space in your home and 125
space in your home for 213
space in your home that 342
space in your life and 64
space in your life for 401
space in your mind and 83
space in your mind for 53
space in your work area 83
space is also used for 222
space is kept clear for 45
space is left free for 50
space is left open for 131
space is left over for 48
space is much less than 158
space is much more than 115
space is none other than 108
space is nothing else but 89
space is nothing else than 123
space is nothing less than 46
space is nothing more than 300
space is nothing other than 135
space is used only for 96
space of five days and 70
space of five years and 319
space of five years had 110
space of five years now 84
space of five years she 118
space of five years that 52
space of five years they 44
space of five years this 53
space of five years was 132
space of five years with 64
space of four days and 128
space of four years all 85
space of four years and 314
space of four years had 70
space of four years that 55
space of four years they 49
space of four years this 69
space of four years was 62
space of just over one 52
space of just over two 106
space of nine days and 85
space of nine years and 71
space of their baths and 100
space of three days and 922
space of three days for 132
space of three days that 182
space of three days they 62
space of three days was 48
space of three feet being 76
space of three years and 2444
space of three years for 62
space of three years had 120
space of three years has 56
space of three years she 96
space of three years that 164
space of three years then 53
space of three years they 168
space of three years was 133
space of time from his 60
space of time from its 58
space of time from one 80
space of time from then 44
space of time less than 83
space of time more than 226
space of time there had 46
space of time there has 62
space of time there was 328
space of time what had 81
space of time when his 44
space of time when she 43
space of time when they 58
space of time will not 43
space on your disk and 60
space on your disk for 53
space the ebbing tide has 43
space to call their own 315
space to call your own 107
space to find their own 71
space to form their own 46
space to give more than 221
space to leave room for 52
space to make room for 487
space to make sure that 97
space to make their own 229
space to make your own 48
space to park your car 56
space to step back and 62
space to tell their own 53
space to walk fore and 79
spacing is much less than 231
spade to take down with 48
spake he nothing unto them 57
spake the word unto them 111
spare no more time for 110
spare no time from his 54
spare so much from his 40
spare so much time for 85
spare the time from her 144
spare the time from his 783
spare the time just now 73
spare the time just then 47
spare us from such things 55
sparing of wine when they 43
spark of fire took off 86
spark of hope went out 98
spark of life from god 44
spark of life into his 74
spark of life went out 205
spark of pain from them 58
spark of pity left for 46
spasm of pain made him 53
spawn in late spring and 60
speaking at great length and 54
speaking at some length and 40
speaking in good faith and 85
speaking in their name and 44
speaking is none other than 41
speaking is nothing more than 53
speaking of many years ago 96
speaking of none other than 82
speaking of nothing else than 96
speaking of nothing less than 100
speaking of nothing more than 49
speaking of those very things 41
speaking of will lose its 108
speaking the truth from her 330
speaking the truth from his 72
speaking the truth when she 457
speaking the truth when they 250
speaking the truth when you 158
speaking to none other than 47
speaking to some young men 57
speaking to your heart and 66
speaks at great length and 46
speaks is none other than 60
speaks of having just read 64
speaks of having seen one 77
speaks of having seen them 177
speaks of having seen two 40
speaks of laying down his 43
speaks of much more than 49
speaks of nothing else but 83
speaks of nothing else than 45
speaks of nothing less than 72
speaks of nothing more than 52
speaks of nothing other than 51
speaks of their size with 52
speaks of those whom god 42
speaks the truth from his 418
speaks the truth when she 103
speaks to your heart and 147
speck of clear blue sky 42
speck of dirt from her 70
speck of dirt from his 107
speck of dust from her 222
speck of dust from his 1204
speck of dust from its 76
speck of dust from one 188
speck of dust upon them 41
speck of lint from her 130
speck of lint from his 380
speck of soot upon his 45
speed at full load and 51
speed is much less than 426
speed is very high and 83
speed is very slow and 45
speed of ours will bring 65
speed of three feet per 65
speed the pair unto her 45
speed to join those who 44
speed to keep pace with 497
speed to make sure that 220
speed up heart rate and 50
speed up their work and 234
speed up your reading and 136
speed up your work and 221
speed up your work with 112
spell he cast over her 49
spell he cast over his 43
spell of good health did 43
spell of hard work and 48
spend an hour here and 43
spend as much time and 1249
spend as much time being 58
spend as much time doing 173
spend as much time out 535
spend as much time with 19643
spend at least half her 66
spend at least half his 190
spend at least half our 47
spend in adding more and 45
spend it some other way 42
spend my free time with 211
spend my last days with 115
spend my life among them 59
spend my life caring for 43
spend my life dealing with 44
spend my life like this 72
spend my life loving you 64
spend my life making you 70
spend my time dealing with 50
spend my time reading and 78
spend no more time and 54
spend no more time than 204
spend no more time with 201
spend on health care and 177
spend on health care for 44
spend so many days and 50
spend so much more than 93
spend so much next year 185
spend so much time and 5377
spend so much time being 271
spend so much time doing 619
spend so much time each 40
spend so much time eating 141
spend so much time for 76
spend so much time going 146
spend so much time out 760
spend so much time that 44
spend so much time using 56
spend so much time with 15077
spend the last days with 86
spend the last hour with 49
spend the late spring and 42
spend the least time with 77
spend the most time and 341
spend the most time doing 247
spend the most time using 63
spend the most time with 4299
spend the next five and 56
spend the next four and 42
spend the next hour and 155
spend the next hour with 84
spend the next month with 49
spend the next three and 104
spend the next week with 125
spend the other half with 87
spend the same time and 79
spend the same time with 78
spend the time reading and 41
spend the time when they 49
spent an hour over her 46
spent an hour there and 51
spent as much time and 628
spent as much time doing 92
spent as much time out 443
spent as much time with 7137
spent as much upon them 51
spent at home caring for 55
spent at least half her 49
spent at least half his 206
spent at their jobs has 54
spent in farm work and 43
spent in hard work and 123
spent in making ready for 113
spent in making sure that 134
spent in moving from one 146
spent in much pain and 51
spent in other ways than 59
spent in paid work and 83
spent in poring over old 47
spent in some other way 367
spent my best years and 56
spent my free time with 86
spent my last cent for 52
spent my life trying not 58
spent my time reading and 92
spent no more time than 295
spent no more time with 215
spent on health care and 417
spent on health care each 60
spent on health care for 665
spent on health care has 143
spent on health care per 77
spent on health care than 57
spent on health care was 85
spent on making sure that 54
spent on said trip was 48
spent so many days and 249
spent so many days with 74
spent so many years and 239
spent so many years being 217
spent so many years doing 85
spent so many years not 75
spent so many years with 439
spent so much care and 80
spent so much more than 52
spent so much time and 6675
spent so much time being 310
spent so much time doing 315
spent so much time going 178
spent so much time lying 82
spent so much time not 65
spent so much time out 886
spent so much time that 305
spent so much time this 65
spent so much time was 59
spent so much time with 16677
spent the cold days and 56
spent the days reading and 50
spent the last five and 49
spent the last four and 55
spent the last hour and 217
spent the last hour going 46
spent the last hour with 174
spent the last month and 42
spent the last month with 43
spent the last three and 154
spent the last week and 57
spent the last week with 185
spent the late fall and 56
spent the late spring and 150
spent the least time with 61
spent the most time and 237
spent the most time doing 63
spent the most time was 61
spent the most time with 3465
spent the next five and 122
spent the next four and 203
spent the next half year 50
spent the next hour and 927
spent the next hour being 43
spent the next hour doing 98
spent the next hour eating 46
spent the next hour going 377
spent the next hour with 297
spent the next month and 101
spent the next month with 54
spent the next three and 505
spent the next week and 62
spent the next week going 49
spent the next week with 111
spent the past hour and 62
spent the past hour with 64
spent the past three and 63
spent the past week with 62
spent the same time and 49
spent the three days that 40
spent the three days with 43
spent the time during his 50
spent the time reading and 94
spent to make sure that 91
spine of your body and 101
spine to make sure you 56
spite of adam smith and 66
spite of bare feet and 40
spite of deep snow and 41
spite of good food and 92
spite of good will and 60
spite of great care and 71
spite of great odds and 42
spite of great pain and 42
spite of hard work and 408
spite of having been put 55
spite of having lost her 43
spite of having lost his 80
spite of having lost its 53
spite of having more than 57
spite of having only one 373
spite of having their own 54
spite of heavy odds and 74
spite of heavy rain and 51
spite of many wars and 79
spite of much care and 42
spite of much help and 54
spite of much talk and 64
spite of pleas from his 44
spite of poor health and 170
spite of their anger and 65
spite of their bulk and 67
spite of their care and 56
spite of their fears and 99
spite of their great age 158
spite of their great and 71
spite of their having had 81
spite of their having not 42
spite of their leaping and 93
spite of their length and 89
spite of their liking for 98
spite of their love and 71
spite of their love for 406
spite of their many and 106
spite of their name and 54
spite of their name they 70
spite of their need for 125
spite of their pain and 48
spite of their rags and 50
spite of their sins and 111
spite of their size and 546
spite of their size they 156
spite of their tears and 85
spite of their very low 124
spite of their very real 80
spite of their wealth and 366
spite of their wide use 71
spite of their young age 88
spite of their youth and 134
spite of their youth they 47
spite of these clear and 44
spite of these laws and 74
spite of these many and 75
spite of these very real 190
spite of what some may 78
spite of what some say 74
spite of your fears and 51
spite of your love for 92
spite of your youth and 46
spits in your face and 47
split at once into two 42
split in half along its 46
split it into pegs for 69
split it three ways and 44
split the army into two 183
split the ball open with 85
split the book into two 103
split the camp into two 41
split the cell into two 59
split the city into two 111
split the clip into two 60
split the data into two 359
split the file into two 48
split the line into two 56
split the list into two 61
split the page into two 52
split the task into two 98
split the tenth into two 95
split the test into two 211
split the town into two 173
split the union into two 61
split the word into its 43
split the work into two 93
split thy very heart with 71
split to form their own 70
split to make room for 100
split to warm some new 40
split up into bits and 66
split up into four sub 41
split up into many sub 84
split up into more and 72
split up into more than 730
split up into teams and 82
split up into their ions 51
split up into these two 71
split up into those who 49
split up into three sub 188
split up into twos and 142
split up into what are 56
spoil me even more than 64
spoke at great length and 683
spoke at great length with 146
spoke at last loud and 42
spoke at last there was 46
spoke at some length and 437
spoke at some length with 266
spoke at such length and 40
spoke at such length that 192
spoke he drew from his 212
spoke he rose from his 75
spoke he took from his 247
spoke in good faith and 83
spoke in other ways than 79
spoke no more till they 132
spoke of hard work and 60
spoke of having seen her 42
spoke of having seen him 81
spoke of having seen you 81
spoke of many other things 357
spoke of much more than 44
spoke of nothing else and 73
spoke of nothing else but 685
spoke of nothing else for 89
spoke of nothing else than 47
spoke of nothing less than 313
spoke of nothing more than 125
spoke of some time ago 254
spoke of their hope for 47
spoke of their love and 136
spoke of their love for 223
spoke of their need for 221
spoke of their work and 67
spoke of their work with 47
spoke of those days with 66
spoke of will look odd 52
spoke so many years ago 404
spoke the good word for 65
spoke the kind word and 42
spoke the last word and 52
spoke the last word with 226
spoke the truth from his 92
spoke the truth when she 474
spoke the truth when they 340
spoke the truth when you 185
sponge or soft cloth and 125
sponge to wipe away any 45
spoon in their mouth and 58
spoon in your mouth and 97
spoon to make sure that 42
sport in those days was 41
sport is nothing more than 130
spots of gold upon its 125
spots on their heads and 43
spots on their hind wings 44
spots we have left for 48
sprang as much from his 145
sprang at once from his 65
sprang at once into being 199
sprang in part from her 53
sprang in part from his 380
sprang in turn upon his 41
sprang to their arms and 268
sprang to their arms with 54
sprang to their feet and 6576
sprang to their feet with 1153
sprang to their guns and 84
sprang to their work with 97
sprang up among those who 101
spray of rose among his 99
spray of wild briar that 81
spray on your face and 40
spread by means other than 86
spread by other means than 99
spread is much less than 50
spread it self over all 61
spread my arms wide and 149
spread my legs wide and 92
spread of aids among gay 44
spread of fire from one 1218
spread of food laid out 48
spread of ideas from one 252
spread of mass media and 282
spread of their ideas and 54
spread of these ideas and 123
spread of these ideas was 190
spread so wide among them 55
spread the belt over him 42
spread the clay upon his 58
spread the cost among all 66
spread the cost over all 40
spread the faith among his 44
spread the glad news that 46
spread the good news and 355
spread the good news far 96
spread the good news that 1084
spread the good word and 129
spread the good word that 152
spread the hide over them 78
spread the loss among all 45
spread the news among all 50
spread the news among her 60
spread the news among his 163
spread the other side with 53
spread the pain over his 54
spread the risk among all 42
spread the sand over them 124
spread the true faith and 46
spread the warm bread with 87
spread the wealth among all 44
spread the word among all 55
spread the word among her 88
spread the word among his 299
spread the word among our 51
spread the word when they 50
spread the work load and 67
spread the work over two 42
spread to areas other than 93
spread to other areas and 1070
spread to other areas with 93
spread to south korea and 41
springing to their feet and 261
springing to their feet they 58
springing to their feet with 58
springs at their heads are 76
springs in part from his 288
springs in part from its 42
springs in part from this 42
springs of life when they 49
springs the most nice and 304
springs to duty when all 45
springs to mind when one 478
springs to mind when you 358
springs up among those who 126
sprung in part from his 128
sprung in part from its 45
sprung to their feet and 806
sprung to their feet with 181
sprung up among those who 41
spurt to keep their lead 43
squat on their hams and 72
stack is also used for 45
stack to make sure that 45
staff at your beck and 44
staff if there were any 46
staff in their hand and 50
staff in their work and 66
staff in their work with 104
staff in those days was 50
staff in your hand and 108
staff to find their own 43
staff to keep pace with 155
staff to learn from each 78
staff to make full use 51
staff to make room for 63
staff to make sure that 1379
staff to make sure they 370
staff to make their own 310
staff to move from one 60
staff to take time off 127
staff to take time out 49
stage as nothing more than 44
stage at great depth and 61
stage he grew more and 83
stage in life when one 73
stage in life when she 54
stage in life when they 229
stage in life when you 88
stage in some cheap way 41
stage in their life and 86
stage in their life that 43
stage in those days was 68
stage in your life and 101
stage in your life that 46
stage in your life you 136
stage is come when man 59
stage is left clear for 54
stage is left free for 43
stage is much less than 98
stage is none other than 63
stage is nothing more than 198
stage of high birth and 47
stage of life there are 90
stage of life when all 42
stage of life when his 41
stage of life when men 41
stage of life when one 234
stage of life when she 64
stage of life when they 317
stage of life when you 69
stage of their life and 181
stage of their life they 97
stage of their work and 41
stage of their work they 41
stage of their work was 43
stage of your life and 207
stage of your life that 55
stage of your life you 183
stage of your very long 52
stage to make room for 518
stage to make sure that 699
stage we have seen that 44
stake in making sure that 231
stake is much more than 123
stake is nothing less than 2124
stake is nothing more than 183
stake is nothing other than 40
stake my life upon her 55
stake my life upon his 399
stake my life upon its 113
stamp of their time and 47
stamp of truth upon its 52
stamp of truth upon them 55
stamp the snow from his 65
stand as much upon her 67
stand at their post and 41
stand at these years thus 64
stand at your back and 50
stand at your door and 147
stand at your side and 338
stand be kept clean and 461
stand by their guns and 140
stand by their side and 275
stand by their word and 87
stand by your side and 766
stand by your word and 91
stand in good stead for 247
stand in good stead with 139
stand in line along with 52
stand in single file and 88
stand in their shoes and 95
stand in your shoes for 94
stand on four legs and 85
stand on hind legs and 61
stand on their feet all 403
stand on their feet and 2429
stand on their feet for 278
stand on their feet they 45
stand on their feet with 45
stand on their heads and 1368
stand on their heads for 216
stand on their heads with 191
stand on their legs and 226
stand on their seats and 41
stand on their side and 85
stand on three legs and 81
stand on your feet all 198
stand on your feet and 529
stand on your feet for 194
stand on your left leg 143
stand on your legs and 51
stand or fall along with 207
stand or fall upon his 153
stand or fall upon its 1331
stand or fall upon our 44
stand or fall upon this 60
stand the hard work and 104
stand to arms upon and 64
stand to gain from all 49
stand to gain from any 337
stand to gain from being 55
stand to gain from her 40
stand to gain from his 258
stand to gain from its 305
stand to gain from our 48
stand to gain from that 64
stand to gain from them 240
stand to gain from this 1350
stand to gain more than 1088
stand to gain most are 58
stand to gain time for 120
stand to live like that 135
stand to live like this 71
stand to lose from any 164
stand to lose from this 57
stand to lose more than 1967
stand to lose what they 58
stand to lose when you 52
stand to make room for 56
stand to make sure that 57
stand to stay here any 43
stand to their arms all 104
stand to their arms and 238
stand to their feet and 137
stand to their guns and 132
stand to your feet and 88
stand ye here idle all 56
stars as living beings who 47
stars as seen from earth 173
stars in areas like that 40
stars in their eyes and 279
stars in their eyes who 51
stars in your eyes and 105
stars is much less than 63
stars of mass less than 281
stars on their caps and 76
stars to find their way 199
stars to grow pale and 52
start at dawn next day 91
start at half past six 98
start at time zero and 108
start at your feet and 138
start at your fire and 71
start by asking what are 52
start by making sure that 672
start by making sure you 224
start in less time than 85
start in life when they 67
start in life when you 41
start in three days for 42
start of their third year 47
start or stop bits are 103
start or stop taking any 517
start the clean page with 53
start the next time you 349
start the very next day 567
start to break down and 496
start to calm down and 45
start to come into our 89
start to feel like one 45
start to feel like that 82
start to feel like they 258
start to feel like this 48
start to feel like you 772
start to feel more and 50
start to feel sick and 64
start to find their own 94
start to find their way 112
start to form their own 134
start to have some fun 112
start to have their own 134
start to look like each 126
start to look like they 96
start to look more and 224
start to make love and 42
start to make some real 42
start to make sure that 132
start to make their own 462
start to make their way 380
start to make your own 91
start to make your way 131
start to meet thine eye 148
start to reach down for 93
start to ride post near 52
start to rock back and 88
start to roll down her 117
start to roll down his 93
start to slow down and 374
start to their feet and 134
start to think like that 160
start to walk away and 155
start to work their way 125
start to work your way 139
start up into life and 133
state as nothing more than 433
state as once when her 47
state by means other than 42
state eat much less than 164
state he took upon him 115
state if ever there was 113
state if there ever was 49
state if there were any 40
state in more ways than 128
state in north korea and 42
state in some other way 59
state in south korea and 111
state in such ways that 82
state in their book that 48
state in those days was 71
state in your will that 211
state is free from all 56
state is much less than 222
state is much more than 215
state is none other than 63
state is nothing else but 68
state is nothing else than 153
state is nothing less than 79
state is nothing more nor 66
state is nothing more than 946
state is nothing other than 170
state is rent into two 44
state is very like that 73
state it will keep for 400
state of coming into being 170
state of deep calm and 42
state of deep peace and 93
state of deep rest that 48
state of feud from being 48
state of flux during this 60
state of full health and 88
state of good health and 378
state of good health for 54
state of good health than 50
state of great anger and 47
state of great pain and 65
state of great peace and 106
state of great rage and 50
state of great wealth and 75
state of having more than 108
state of having only one 49
state of health also has 50
state of health care and 103
state of health care for 46
state of health during her 50
state of health from any 69
state of health from his 65
state of health just now 41
state of health kept him 46
state of health made her 50
state of health made him 94
state of health were put 76
state of health when she 63
state of health when they 106
state of health will not 338
state of life brings its 94
state of life during this 58
state of mind among all 77
state of mind among his 66
state of mind among one 49
state of mind among our 45
state of mind during her 97
state of mind during his 442
state of mind during that 318
state of mind during this 1549
state of mind from any 51
state of mind from her 94
state of mind from his 198
state of mind from one 44
state of mind from that 1053
state of mind gave way 49
state of mind having its 55
state of mind into one 42
state of mind into that 119
state of mind just now 129
state of mind just then 112
state of mind leads him 42
state of mind like that 536
state of mind like this 196
state of mind made her 136
state of mind made him 151
state of mind means that 41
state of mind means this 170
state of mind more than 445
state of mind must not 66
state of mind must that 128
state of mind need not 172
state of mind other than 176
state of mind over his 69
state of mind over this 49
state of mind such that 416
state of mind there are 45
state of mind there can 71
state of mind there was 174
state of mind upon this 44
state of mind were not 76
state of mind when all 46
state of mind when her 73
state of mind when his 101
state of mind when one 641
state of mind when she 1083
state of mind when that 88
state of mind when they 601
state of mind when this 52
state of mind when you 660
state of mind will lead 48
state of mind will not 702
state of peace among men 195
state of poor health and 89
state of pure shear and 47
state of rest into one 126
state of rest into that 143
state of single life has 42
state of soul once not 40
state of their arms and 170
state of their army and 50
state of their arts and 97
state of their birth and 46
state of their body and 54
state of their faith and 53
state of their hair and 53
state of their health and 531
state of their health was 44
state of their heart and 43
state of their kind that 77
state of their land and 51
state of their love and 164
state of their mind and 110
state of their wealth and 53
state of those whom they 49
state of those whom you 40
state of vera cruz and 130
state of your body and 170
state of your health and 849
state of your health does 46
state of your health for 47
state of your health has 98
state of your health was 127
state of your health you 45
state of your heart and 185
state of your laws and 57
state of your mind and 260
state of your mind that 318
state of your mind with 102
state of your soul and 75
state on their face that 374
state the bare fact that 86
state the case much too 58
state the date when they 81
state the full name and 636
state the main ideas and 84
state the next time you 106
state the time when and 268
state the truth upon any 75
state to call forth and 51
state to call their own 153
state to come into being 551
state to form their own 40
state to have full swing 60
state to have more than 296
state to keep pace with 41
state to make good its 59
state to make laws and 53
state to make laws for 147
state to make peace with 101
state to make room for 73
state to make sure that 837
state to make their own 61
state to pass into any 52
state to pass laws that 129
state to send some one 46
state to slip into his 40
state to take care that 133
state to take over all 100
state to take over and 86
state to take over any 58
state to wait upon him 58
state we have seen that 110
stating on their face that 109
stating the full name and 96
stating the time when and 136
staying at home among our 54
staying at home caring for 62
staying at home more and 42
staying at home more than 57
staying at home till his 49
staying at home when they 48
staying at rock park with 55
staying in their seats and 53
staying in your home for 50
staying in your room and 42
staying of such hues and 40
staying on till dusk with 74
staying the coming into this 73
stays at home caring for 183
stays in your body for 133
stays in your mind for 45
stays the same from day 47
stays the same from one 356
stays the same from year 48
stays the same size and 76
stays the same when you 87
steady in your faith and 54
steady on their feet and 87
steady to their work and 104
stealing the breath from her 138
stealth in some wood for 132
steel an inch wide and 47
steel is also used for 307
steel is cast into ingot 95
steel is made from pig 181
steel is much less than 76
steel is very hard and 99
steel or cast iron and 371
steel or cast iron are 77
steel or cast iron with 159
steer the ship upon her 41
steer to some star off 44
stems as much from her 48
stems as much from his 267
stems as much from its 101
stems in late spring and 172
stems in part from her 441
stems in part from his 1860
stems in part from how 63
stems in part from its 1666
stems in part from our 668
stems in part from that 103
stems in part from this 516
stems in part from two 117
stems to make room for 45
steps in good faith and 162
steps in these were not 43
steps of city hall and 306
steps of city hall with 77
steps of those great men 54
steps on foot along one 72
steps the next time you 59
steps to form their own 42
steps to help those who 54
steps to keep from being 52
steps to keep pace with 395
steps to make good his 67
steps to make good its 55
steps to make peace with 51
steps to make room for 76
steps to make sure all 61
steps to make sure his 83
steps to make sure she 93
steps to make sure that 7386
steps to make sure they 288
steps to make sure this 81
steps to make sure you 445
steps to make their own 59
steps to make your own 98
steps to move from one 47
steps to take when they 196
steps to take when you 546
stern of their boat and 46
stick by toad till this 100
stick by your guns and 44
stick in their hand and 138
stick in your hand and 383
stick in your mind and 333
stick in your mind for 179
stick my nose into his 41
stick my nose into things 40
stick of hard wood and 42
stick to hard work and 82
stick to make sure that 180
stick to open burs with 60
stick to their guns and 840
stick to their jobs and 300
stick to their jobs for 87
stick to their last and 68
stick to their wake and 121
stick to their word and 103
stick to their work and 78
stick to your diet and 129
stick to your guns and 1505
stick to your plan and 348
stick to your reading day 53
stick to your ribs and 122
stick to your skin and 174
stick to your teeth and 87
stick to your work and 154
stick up their heads and 41
stile to pass from this 315
still an hour away and 53
still at high risk for 155
still at work upon her 55
still at work upon his 158
still at work upon them 57
still at work when she 49
still at work when they 46
still be dealing only with 43
still be earning less than 44
still be free like that 41
still be great among his 177
still be heard here and 72
still be here next year 307
still be here when she 116
still be here when they 127
still be here when you 1412
still be left open for 48
still be much less than 290
still be much more than 66
still be nothing more than 387
still be open when you 43
still be room here for 41
still be room left for 103
still be seen along with 73
still be seen here and 503
still be some hope for 184
still be some need for 77
still be some room for 248
still be there next year 321
still be there when all 58
still be there when his 46
still be there when she 477
still be there when they 442
still be there when this 58
still be there when you 1550
still be used along with 43
still be very much with 47
still be warm when you 56
still be worth more than 142
still do good work for 45
still do much more for 40
still do some work for 53
still go well when this 51
still he well knew that 47
still if there were not 46
still in full health and 64
still in good form and 70
still in good health and 1332
still in good heart and 78
still in great pain and 103
still in pain from her 45
still in pain from his 179
still in poor health and 130
still in such pain that 48
still in their beds and 51
still in their early and 40
still in their hats and 44
still in their seats and 49
still in their sins and 43
still in their youth and 61
still in very wide use 47
still in your debt for 101
still is left among you 46
still is much room for 77
still is nothing more than 63
still it must have had 68
still it must make all 56
still no word from her 205
still no word from him 272
still no word from his 58
still no word from you 122
still of much less than 43
still of some note for 83
still on sick leave and 61
still on their feet and 288
still on their feet had 50
still on their heads and 71
still so many other things 50
still so much health and 42
still so much left that 105
still so much life and 43
still so much more that 147
still so much room for 91
still so much sunk with 68
still the best book for 46
still the best cure for 50
still the best food for 46
still the best hope for 187
still the best means for 105
