of abigail adams can ever 64
or persons within our said 51
or persons within this realm 107
or phrases which are used 125
or phrases which you think 47
or plaited neatly and tied 118
or portions which may want 60
or position after being bent 103
or private study and will 144
or process which has been 82
or producing goods for sale 82
or promise thereof for acting 66
or provide others that will 63
or puritan right and wrong 66
or question within this realm 56
or raisins spread out wide 57
or regional level and those 97
or religion could not bind 43
or remaining where they were 44
or renewed after due date 85
or renewed after that date 44
or scholar whose own work 63
or sedation finds her life 72
or service which has been 177
or service which they have 47
or seventy horse and foot 54
or seventy hours per week 45
or seventy miles per hour 371
or several times each week 98
or several times per week 332
or several units that make 59
or shorter times than those 60
or shortly after each other 70
or shortly after that date 156
or shortly after that time 158
or shortly after they have 127
or shortly after they were 65
or shortly after this time 111
or similar action has been 52
or similar goods are sold 49
or similar terms are used 85
or similar words are used 100
or similar words may have 43
or stouter hearts than those 82
or surname where that name 152
or suspect about this girl 62
or symbols which are used 48
or thirteen towns had been 96
or usurped within this realm 137
or utility model has been 115
or utility which they have 86
or variable costs per unit 77
or varnish which was used 52
or village where they live 62
or village where they were 127
or village where you live 43
or violation under this code 109
or violence which had been 69
or virtues which his post 151
or warrant under his hand 100
or warrant under our sign 72
or widowed women who have 43
or willful action that leads 82
