tea bag 165 tea bar
to bed 154 to big
707 to bit 407 to
bmw 104 to bow 52
to box 125 to bus
45 to car 8223 to
cat 331 to cow 495
to dog 3709 to fee
50 to few 1340 to
fur 150 to gas 209
to god 278 to gun
7012 to hat 51 to
hot 83 to key 62
to long 74 to lot
758 to man 497 to
new 1002 to one 320
to pet 1198 to pew
81 to pig 158 to
pro 169 to pub 63
to real 375 to red
71 to seat 230 to
set 1221 to shoe 42
to team 299 to top
94 to toy 57 to
two 193 to van 43
to vcr 197 to did
83 to had 194 to
was 293 to with 139
to dog 1113 to and
128 to bad 75 to
bar 86 to bet 152
to big 2519 to bit
2460 to boy 365 to
bus 103 to cab 215
to car 78 to cow
175 to cut 94 to
day 950 to dead 71
to dear 797 to death
519 to dog 220 to
due 1513 to far 1153
to fat 177 to fee
56138 to few 7013 to
for 483 to gas 222
to guy 155 to head
1001 to heap 57 to
hit 110 to hut 222
to kid 50 to lac
197 to law 93 to
lip 97 to long 2464
to lot 20190 to low
1936 to man 10115 to
neat 45 to net 516
to new 2307 to non
1086 to not 81 to
one 2951 to per 1380
to pig 220 to poet
74 to pro 1182 to
real 2099 to red 114
to set 2792 to six
470 to son 75 to
sou 87 to spy 52
to sub 185 to sum
72140 to tax 69446 to
team 57 to tear 55
to ten 1634 to then
47 to tip 102 to
ton 157 to too 138
to top 387 to two
1182 to use 153 to
vet 89 to vow 284
to war 6502 to wet
83 to year 2796 to
and 83 to for 325
to one 172 to ten
42 to and 59 to
for 60 to for 43
to can 79 to per
52 to was 81 to
for 81 to for 43
to for 45 to lot
399 to real 105 to
few 1139 to long 178
to new 95 to poem
147 to song 86 to
cat 180 to dog 1038
to bit 56 to few
62 to man 148 to
new 40 to rap 57
to red 106 to few
57 to man 48 to
cap 177 to few 373
to few 118 to bit
72 to few 266 to
and 109 to bad 747
to bag 629 to ban
1533 to bar 707 to
bath 56 to bead 94
to beam 76 to bean
47 to bear 96 to
bed 914 to bee 89
to bet 306 to bib
62 to bid 145 to
big 2417 to bit 9042
to bow 172 to box
1490 to boy 719 to
bra 42 to bug 424
to bus 62 to can
313 to cap 5141 to
car 790 to cat 298
to cop 69 to cot
183 to cow 186 to
cup 425 to cut 188
to dab 506 to dam
604 to day 242 to
dead 483 to deal 561
to death 169 to dog
1410 to dot 721 to
dry 145 to due 157
to dying 63 to end
99 to fan 100 to
far 329 to fat 71
to fear 79 to fee
51 to few 15760 to
fig 138 to fix 72
to flea 269 to fly
606 to for 216 to
fox 62 to gag 824
to gang 82 to gap
103 to gas 397 to
gay 65 to gun 3751
to guy 388 to hang
64 to hat 579 to
head 604 to heap 54
to heat 41 to hem
49 to hen 74 to
hex 692 to hinge 43
to hit 593 to hot
1266 to jar 67 to
jet 73 to jew 108
to job 254 to jug
71 to key 1072 to
kid 258 to lad 46
to law 557 to lax
40 to lay 112 to
lead 342 to leaf 297
to leg 241 to lid
4135 to lie 346 to
lion 165 to log 621
to long 1057 to lot
11030 to low 1658 to
man 38593 to map 149
to mat 71 to meal
477 to mean 40 to
mob 45 to neat 125
to net 454 to new
19149 to non 587 to
nut 91 to one 710
to pad 282 to pan
296 to path 114 to
paw 196 to peg 219
to pen 818 to pet
147 to pig 358 to
pin 1467 to plea 85
to pod 55 to poem
158 to poet 68 to
pot 556 to pro 221
to rag 179 to rat
163 to raw 155 to
real 2618 to red 2104
to rim 98 to rod
149 to row 294 to
rug 165 to run 138
to sad 43 to saw
120 to seal 1402 to
seat 293 to set 1571
to shoe 345 to shy
56 to six 452 to
sling 101 to song 490
to son 547 to spy
200 to sting 115 to
sub 90 to sum 389
to sun 100 to swing
65 to tab 98 to
tag 476 to tap 361
to tax 4967 to team
2215 to ten 440 to
thin 730 to tie 329
to tin 167 to ton
86 to too 286 to
top 614 to toy 288
to tub 108 to two
898 to wad 77 to
war 135 to weak 133
to web 250 to wee
42 to wet 441 to
wig 97 to year 217
to car 41 to few
64 to bad 226 to
bar 311 to big 202
to bit 2638 to box
113 to boy 45 to
bus 141 to car 89
to day 191 to dead
87 to dial 146 to
dog 223 to dry 56
to dvd 54 to far
40 to few 16506 to
gas 228 to job 122
to key 423 to law
217 to lie 271 to
log 78 to long 3465
to lot 17583 to low
108 to man 2718 to
map 5157 to math 157
to myth 73 to new
4701 to non 351 to
one 550 to poem 9459
to poet 383 to real
731 to row 201 to
sad 41 to set 3218
to six 160 to song
204 to tag 122 to
tax 81 to ten 179
to ton 99 to two
698 to war 49 to
web 368 to year 408
to can 137 to did
55 to had 140 to
read 75 to saw 74
to was 227 to big
94 to few 161 to
net 74 to new 110
to tax 48 to boy
73 to few 415 to
lion 153 to man 86
to new 1083 to pig
52 to poem 58 to
son 195 to dog 140
to man 142 to car
49 to few 59 to
man 97 to new 142
to sling 60 to tow
88 to and 69 to
few 65 to man 369
to bar 41 to bee
56 to dead 228 to
few 121 to gas 384
to hen 275 to jew
76 to lot 124 to
man 2954 to few 61
to long 87 to and
91 to bit 378 to
few 175 to lot 74
to man 43 to thin
59 to wet 40 to
bad 74 to bar 480
to bath 1172 to bbs
155 to bead 165 to
bed 526 to big 2178
to bingo 100 to bit
2220 to box 95 to
bus 458 to cab 55
to cad 46 to car
2722 to con 107 to
cow 132 to cut 59
to dam 83 to day
816 to dead 153 to
dna 151 to dog 314
to dos 1100 to dry
139 to due 167 to
fan 265 to far 260
to few 7257 to fly
47 to fox 157 to
gang 65 to gas 720
to gay 45 to gel
145 to gun 89 to
head 42 to heat 626
to hot 864 to jet
50 to job 939 to
lab 97 to lap 181
to law 411 to lead
142 to lean 118 to
leg 41 to log 43
to long 2454 to lot
1249 to low 1079 to
mac 52 to man 1501
to meat 103 to mix
64 to net 71 to
new 3957 to non 750
to one 1994 to path
65 to pen 97 to
pet 91 to pig 200
to pin 203 to pro
229 to pub 321 to
rat 44 to real 1414
to red 546 to rig
67 to rod 50 to
row 75 to sap 97
to saw 679 to set
1264 to sex 41 to
shoe 131 to six 598
to ski 107 to spy
74 to sting 60 to
sub 662 to tab 451
to tag 53 to tap
91 to tax 221 to
team 854 to ten 470
to thin 135 to top
139 to toy 213 to
tub 92 to tug 57
to two 1506 to war
3517 to way 112 to
web 1756 to wet 62
to year 708 to zoo
91 to can 42 to
did 45 to ran 42
to saw 50 to was
82 to bit 360 to
man 92 to dead 82
to few 46 to log
195 to and 167 to
bad 825 to bed 40
to being 168 to big
962 to bit 5363 to
box 51 to boy 129
to car 78 to day
426 to dead 76 to
deal 52 to die 191
to dog 187 to due
55 to few 189118 to
god 344 to guy 83
to jew 57 to job
79 to kid 53 to
law 313 to lie 122
to long 1007 to lot
11666 to low 223 to
man 9990 to mean 193
to new 1432 to non
427 to one 120 to
poem 429 to poet 188
to real 1009 to sad
160 to set 510 to
sew 88 to sin 44
to song 40 to son
45 to sum 93 to
tax 121 to two 103
to war 95 to way
134 to weak 77 to
year 759 to and 143
to ask 77 to ate
83 to beat 56 to
beg 46 to bring 57
to can 9350 to did
14099 to don 69 to
fear 242 to get 186
to got 1479 to had
14340 to hear 191 to
hit 71 to let 102
to lie 88 to may
553 to mean 210 to
met 155 to now 161
to owe 242 to own
74 to put 335 to
ran 152 to read 228
to sat 114 to saw
1112 to say 303 to
see 706 to set 78
to that 313 to too
101 to try 53 to
use 94 to was 41552
to won 165 to but
70 to that 44 to
can 43 to did 65
to had 48 to was
197 to and 153 to
hat 62 to cut 87
to deal 611 to gap
121 to leak 189 to
man 78 to new 184
to man 99 to new
158 to man 387 to
new 54 to and 206
to bad 912 to bag
129 to ban 120 to
bar 182 to bat 383
to bath 67 to bay
83 to beam 142 to
bean 43 to bear 4106
to beat 65 to beau
287 to bed 753 to
bee 240 to being 876
to bias 92 to big
8428 to bit 15483 to
boa 40 to boer 118
to bow 47 to box
588 to boy 6150 to
bud 99 to bug 87
to bum 51 to bus
310 to cab 221 to
can 117 to car 2826
to cat 1520 to cop
445 to cow 1325 to
cub 105 to cup 184
to cut 531 to dam
109 to day 2912 to
dead 8375 to deaf 113
to deal 213 to dean
40 to dear 1380 to
death 369 to dim 705
to dip 51 to doc
330 to dog 6124 to
dot 65 to dry 124
to due 76 to dying
3402 to ewe 44 to
fan 76 to far 1540
to fat 2353 to few
20862 to fin 95 to
fit 216 to flea 59
to fly 1410 to fog
60 to fox 935 to
fur 102 to gal 221
to gang 430 to gap
782 to gas 294 to
gay 384 to gem 66
to god 1108 to gun
1767 to guy 2505 to
ham 41 to hat 188
to head 924 to heap
283 to heat 40 to
hen 258 to hit 292
to hog 215 to hot
681 to hun 68 to
hut 65 to jay 42
to jet 198 to jew
781 to job 1152 to
key 614 to kid 1056
to lad 559 to law
1676 to lay 132 to
lead 165 to leaf 236
to leak 91 to lean
194 to leg 149 to
lie 78 to lion 2858
to lip 109 to lit
93 to log 264 to
long 6013 to lot 45844
to low 1707 to lung
74 to mad 194 to
man 191058 to map 1226
to meal 173 to mean
312 to mix 194 to
mob 518 to moth 144
to mrs 69 to mud
107 to myth 62 to
near 669 to neat 499
to neon 87 to net
541 to new 35618 to
non 1524 to not 139
to now 120 to nun
1189 to old 57 to
one 1693 to pal 306
to pan 57 to path
605 to pay 118 to
peak 316 to pen 260
to per 46 to pet
234 to pie 71 to
pig 1186 to pin 178
to pit 68 to pod
81 to poem 482 to
poet 939 to pop 924
to pot 214 to pro
727 to pun 68 to
ram 115 to rat 1058
to raw 167 to ray
1614 to real 24216 to
red 7080 to rim 48
to riot 323 to rod
124 to row 1490 to
rum 50 to run 799
to sad 375 to seal
238 to seam 47 to
seat 123 to set 3730
to sex 360 to she
118 to shoe 77 to
shy 96 to singing 46
to six 1172 to sky
652 to song 152 to
son 5268 to sow 145
to spy 103 to sub
180 to sum 51 to
sun 328 to swing 98
to tag 40 to tan
48 to tax 646 to
team 1811 to tear 754
to ten 742 to thai
46 to thin 1514 to
tie 165 to tin 88
to tinge 72 to tip
152 to tom 63 to
ton 136 to too 191
to top 822 to tow
94 to toy 125 to
trio 171 to tug 68
to two 2012 to ufo
297 to use 178 to
van 173 to vet 648
to wag 245 to war
3558 to wax 45 to
way 6479 to weak 492
to web 521 to wee
186 to wet 156 to
win 148 to wry 95
to year 820 to yet
112 to zen 115 to
zoo 116 to and 79
to can 485 to did
590 to get 139 to
got 210 to had 1682
to mean 108 to saw
99 to see 65 to
was 3304 to hat 116
to and 284 to bad
2495 to bar 186 to
bear 300 to bed 179
to big 188 to bit
981 to box 249 to
boy 173 to cap 523
to car 83 to cat
54 to cup 146 to
cut 464 to dam 79
to day 2357 to dead
251 to deal 46 to
dial 51 to dog 319
to due 1719 to far
207 to fee 843 to
few 3087 to gang 51
to going 77 to gun
105 to guy 48 to
head 114 to heap 60
to hen 528 to hot
241 to hub 47 to
job 80 to key 746
to law 260 to lead
256 to leg 131 to
log 190 to long 565
to lot 336 to low
2691 to man 16386 to
map 94 to meal 81
to net 650 to new
18730 to non 244 to
not 50 to one 245
to pan 89 to par
129 to path 314 to
pay 42 to per 82
to pin 154 to poem
384 to poet 47 to
pot 200 to read 135
to real 245 to red
47 to rod 79 to
row 209 to saw 110
to seal 1544 to six
51 to song 58 to
son 186 to spy 132
to sum 97 to tab
760 to tag 45 to
tax 657 to team 89
to ten 135 to too
107 to top 253 to
two 336 to war 98
to way 74 to weak
58 to and 59 to
bit 68 to few 230
to hem 136 to long
50 to lot 113 to
new 442 to red 58
to seam 345 to bit
57 to cos 130 to
sin 134 to few 55
to few 41 to song
201 to bit 109 to
cup 720 to few 231
to hot 62 to bit
389 to day 114 to
few 878 to long 507
to lot 253 to man
56 to day 2016 to
year 622 to was 111
to lot 107 to few
43 to gun 56 to
low 48 to bed 71
to few 1360 to long
56 to lot 54 to
new 191 to row 87
to hog 54 to man
87 to bit 151 to
man 111 to and 61
to few 45 to for
578 to man 304 to
new 40 to non 148
to and 51 to for
371 to for 64 to
for 313 to for 73
to row 40 to set
287 to few 40 to
bat 2214 to big 251
to bit 146 to cat
4351 to dead 49 to
deal 573 to few 214
to gun 47 to leg
290 to long 156 to
lot 112 to mean 89
to few 49 to and
45 to ore 65 to
few 154 to keg 218
to key 382 to long
54 to man 163 to
new 1008 to man 767
to non 183 to bit
120 to cat 828 to
few 243 to gap 73
to leaf 236 to lion
65 to man 1852 to
new 259 to way 168
to you 76 to day
3375 to year 561 to
was 101 to man 40
to can 52 to did
57 to had 126 to
was 66 to bit 239
to few 503 to long
292 to lot 184 to
man 4048 to new 192
to real 40 to sum
61 to year 145 to
add 158 to ask 43
to bear 129 to beg
91 to bow 57 to
can 2786 to cling 64
to did 433 to fear
45 to got 75 to
had 4145 to may 511
to now 400 to owe
280 to put 81 to
read 58 to saw 149
to say 705 to see
74 to then 63 to
was 2267 to bit 397
to few 44 to bit
71 to cup 40 to
day 93 to dear 82
to few 70 to man
335 to new 161 to
poet 43 to son 191
to way 51 to bear
54 to bow 461 to
bring 359 to can 209
to cry 524 to did
138 to die 57 to
fly 289 to may 165
to now 69 to owe
753 to say 209 to
see 47 to sue 83
to was 74 to death
271 to god 172 to
thou 61 to bad 187
to bed 156 to being
419 to big 125 to
bit 1919 to box 84
to boy 65 to bye
138 to cup 107 to
day 1815 to dead 265
to deaf 118 to dear
274 to death 55 to
dim 122 to dry 61
to due 204 to far
1246 to fear 47 to
few 6328 to fit 244
to gay 52 to god
6070 to joy 109 to
key 214 to law 796
to long 2152 to lot
2804 to low 271 to
mad 99 to man 2551
to map 43 to mean
72 to myth 42 to
near 40 to net 124
to new 7812 to non
136 to not 60 to
one 40 to path 192
to poem 185 to pro
44 to ram 44 to
real 3116 to red 265
to row 70 to sad
169 to set 1067 to
sin 119 to song 186
to son 497 to sum
328 to sun 116 to
tax 133 to thin 57
to too 93 to two
113 to war 390 to
way 943 to weak 74
to year 1605 to yet
91 to add 56 to
and 90 to ask 48
to beg 180 to can
1182 to did 639 to
fear 66 to get 40
to got 80 to had
1035 to may 416 to
mean 64 to now 183
to owe 1812 to pay
54 to put 58 to
saw 376 to say 978
to see 89 to was
2963 to and 681 to
but 272 to for 109
to that 153 to they
77 to did 109 to
had 2687 to was 212
to bit 127 to bit
80 to can 174 to
did 358 to had 771
to was 200 to bit
383 to fear 133 to
few 1632 to law 225
to long 506 to lot
113 to low 109 to
man 718 to new 755
to real 48 to red
74 to set 148 to
sky 85 to sum 122
to tax 56 to thin
67 to weak 87 to
year 161 to add 870
to ask 257 to bear
88 to beg 188 to
can 2708 to cling 184
to did 281 to fay
121 to got 112 to
had 4308 to hear 45
to may 1459 to mean
49 to now 571 to
owe 308 to pay 85
to put 146 to saw
133 to say 1253 to
see 124 to set 157
to was 2326 to bag
95 to bib 52 to
big 149 to bit 258
to bow 1646 to can
372 to cat 83 to
cow 129 to dead 62
to dog 141 to few
514 to fly 1308 to
long 288 to lot 82
to man 1509 to neat
90 to new 239 to
one 105 to rag 150
to red 410 to shoe
1402 to swing 64 to
thin 54 to thong 47
to tie 1665 to tin
131 to wet 239 to
few 189 to hat 87
to car 303 to net
44 to bath 125 to
bed 58 to big 202
to bit 1608 to box
51 to boy 49 to
car 45 to cup 134
to cut 46 to day
212 to dead 71 to
dip 69 to dog 52
to dry 95 to far
94 to few 7443 to
fling 95 to fly 153
to gun 183 to head
88 to hit 62 to
hot 115 to job 193
to law 278 to leap
45 to long 784 to
lot 1028 to low 531
to man 5787 to meal
121 to new 29015 to
non 331 to one 395
to path 43 to pit
85 to poem 91 to
rat 81 to real 408
to red 52 to run
404 to set 451 to
shy 68 to sip 123
to six 123 to song
109 to swing 67 to
two 488 to war 159
to way 95 to year
312 to man 93 to
day 2571 to year 1066
to lay 312 to was
61 to and 357 to
bad 574 to bag 372
to bar 977 to bat
558 to bath 779 to
bbs 47 to bead 117
to beam 770 to bean
170 to bear 89 to
bed 1380 to bee 55
to bias 235 to big
1612 to bit 5286 to
bow 1786 to box 1964
to boy 128 to bur
160 to bus 539 to
buy 68 to cab 102
to cad 504 to cam
173 to can 1184 to
cap 489 to car 2957
to cat 268 to chi
257 to com 741 to
con 155 to cot 51
to cow 97 to cpa
52 to cpu 72 to
crt 302 to cue 318
to cup 921 to cut
1046 to dab 43 to
dam 78 to day 513
to dead 809 to death
52 to dial 765 to
die 413 to dim 126
to dip 111 to dna
178 to dog 1119 to
dos 679 to dot 368
to dry 1162 to due
74 to dvd 234 to
dye 550 to fan 663
to far 992 to fat
236 to fax 362 to
fear 128 to fee 214
to few 10141 to fig
161 to flea 58 to
fly 1190 to fog 49
to for 2186 to gag
208 to gang 64 to
gap 189 to gas 3778
to gear 360 to gel
332 to going 98 to
gui 1062 to gum 145
to gun 20059 to guy
74 to gym 71 to
hat 111 to hay 62
to head 526 to heap
79 to heat 2086 to
hen 60 to hex 97
to hinge 137 to hip
96 to hit 126 to
hop 94 to hot 2672
to hub 178 to jar
139 to jet 256 to
jig 490 to job 558
to key 4438 to kid
57 to kit 136 to
lab 124 to lag 90
to lan 412 to lap
91 to law 1261 to
lay 160 to lead 1336
to leaf 301 to lean
62 to leg 192 to
lid 111 to lie 167
to lip 274 to log
731 to long 6826 to
lot 19122 to low 13070
to mac 415 to man
3624 to map 3519 to
mat 179 to math 227
to mean 1578 to meat
664 to men 47 to
mic 66 to mid 263
to mix 1581 to mop
170 to mud 43 to
myth 106 to near 332
to neat 86 to neon
53 to net 2068 to
new 25881 to non 10738
to nor 40 to not
335 to now 1246 to
nut 138 to one 7942
to pad 393 to pan
343 to path 542 to
pay 2723 to pbx 42
to peak 1042 to peg
98 to pen 7082 to
per 367 to pet 538
to pew 50 to pie
308 to pig 165 to
pin 884 to pit 106
to plea 55 to poem
276 to poet 110 to
pop 420 to pot 512
to pro 301 to pry
230 to pun 201 to
pvc 41 to rag 161
to ram 677 to rat
44 to raw 395 to
ray 286 to read 475
to real 6232 to rear
320 to red 2298 to
rig 45 to rip 46
to rod 837 to rom
304 to row 200 to
rug 65 to run 274
to sad 74 to saw
2626 to seal 886 to
seam 127 to seat 2182
to set 15618 to sex
55 to shoe 187 to
six 1442 to ski 136
to sky 61 to sling
1270 to song 581 to
spy 83 to sub 606
to sum 426 to sun
468 to swing 152 to
tab 150 to tag 267
to tap 194 to tar
54 to tax 2340 to
tdd 104 to team 2566
to tee 225 to ten
750 to then 159 to
thin 2301 to tie 420
to tin 274 to tip
112 to ton 198 to
too 578 to top 1521
to tow 169 to toy
438 to try 224 to
tub 91 to two 14608
to ups 65 to url
700 to van 85 to
vcr 207 to war 288
to wax 253 to way
499 to weak 885 to
web 6721 to wet 1458
to wig 168 to win
115 to wok 177 to
www 44 to year 712
to yet 142 to zen
60 to zip 115 to
and 47 to and 85
to for 107 to for
49 to and 40 to
and 60 to for 45
to was 40 to and
51 to for 43 to
and 139 to and 54
to and 43 to and
131 to for 99 to
and 92 to and 293
to for 50 to for
41 to car 113 to
few 193 to gas 104
to gui 40 to gun
428 to key 44 to
long 106 to lot 128
to low 297 to map
53 to new 397 to
non 275 to one 151
to pen 275 to real
194 to set 249 to
tax 44 to team 41
to two 242 to web
322 to man 136 to
vow 329 to gun 132
to few 157 to year
73 to did 65 to
had 52 to was 47
to her 54 to him
90 to them 57 to
you 102 to big 179
to bit 187 to boy
53 to few 130 to
guy 40 to jew 44
to long 276 to lot
87 to man 745 to
new 347 to one 131
to real 100 to son
103 to two 141 to
bit 135 to car 78
to man 88 to bag
514 to bar 45 to
bead 55 to bear 102
to bib 456 to big
1097 to bit 979 to
bow 248 to boy 92
to bra 3023 to cap
5869 to cup 70 to
day 136 to dead 297
to dog 303 to dry
69 to far 52 to
few 389 to fez 281
to fig 130 to fur
1324 to gag 48 to
gas 982 to gay 122
to gun 1035 to hat
10144 to head 1336 to
hot 90 to lab 125
to lead 271 to leg
251 to lion 181 to
long 4137 to lot 1276
to low 907 to man
1782 to mean 117 to
neat 136 to net 135
to new 3207 to non
94 to nun 133 to
one 432 to pad 576
to path 291 to phi
99 to pig 130 to
pin 465 to pith 175
to rag 52 to real
412 to red 10848 to
rut 49 to sad 132
to seal 45 to seat
6420 to set 394 to
shoe 592 to six 235
to ski 217 to sky
130 to sling 759 to
sun 399 to tag 128
to tee 59 to ten
118 to thin 369 to
thong 281 to tie 10064
to tin 211 to top
1674 to tux 1053 to
two 476 to war 237
to wet 295 to wig
8921 to can 56 to
man 2547 to son 76
to dry 45 to fly
46 to man 93 to
rag 58 to can 41
to had 89 to may
96 to was 3609 to
boy 44 to few 66
to lot 41 to man
661 to new 132 to
can 238 to did 1296
to got 87 to had
2336 to say 45 to
use 41 to was 3867
to was 48 to bad
44 to bar 56 to
bet 3175 to bid 265
to big 1755 to bit
232 to boy 147 to
car 225 to cup 354
to day 246 to deal
121 to death 50 to
dog 126 to far 253
to few 4446 to head
76 to heap 40 to
heat 99 to job 659
to key 203 to law
480 to long 638 to
lot 3369 to man 3571
to men 41 to new
3875 to nod 66 to
non 137 to not 46
to one 326 to pay
174 to phi 48 to
pot 323 to pro 96
to real 436 to red
45 to seat 20015 to
set 890 to six 151
to sum 62 to tax
178 to team 128 to
ten 309 to top 290
to tug 50 to two
1260 to war 29855 to
way 660 to weak 51
to year 312 to had
47 to bad 59 to
bang 762 to big 50
to bit 82 to few
238 to gun 92 to
long 130 to lot 86
to low 46 to man
161 to mean 404 to
new 324 to nod 83
to pen 107 to real
48 to set 48 to
thud 40 to vim 48
to yes 52 to zeal
100 to man 159 to
new 104 to cry 48
to few 432 to man
61 to new 56 to
real 52 to tear 108
to for 59 to and
63 to new 416 to
bad 41 to big 89
to bit 3395 to box
101 to boy 86 to
cup 128 to day 1613
to dead 179 to dear
99 to far 286 to
few 13964 to fit 213
to god 1980 to joy
87 to key 49 to
law 363 to lie 85
to long 2952 to lot
3207 to lying 80 to
man 3624 to new 2380
to non 226 to path
43 to poem 209 to
real 336 to red 57
to sad 70 to sec
170 to set 459 to
song 192 to son 229
to sum 133 to ten
191 to war 46 to
way 580 to year 993
to ask 102 to bear
65 to beg 143 to
bow 207 to bring 279
to but 40 to can
5084 to cry 102 to
did 1949 to fear 140
to fly 123 to get
220 to got 267 to
had 2436 to hear 80
to lay 43 to may
1579 to mean 648 to
met 63 to now 470
to owe 2979 to put
166 to read 60 to
run 56 to saw 241
to say 2747 to see
372 to try 65 to
was 3680 to you 73
to and 195 to but
111 to for 50 to
